Designator,Mid X,Mid Y,Rotation,Layer
C10,31.975,30.6,180.0,top
C11,32.1,32.8,180.0,top
C12,30.2,36.8875,270.0,top
C13,31.55,43.8,180.0,top
C14,31.5575,45.9575,180.0,top
C15,28.0,40.65,90.0,top
C16,21.45,45.1,180.0,top
C17,11.4,47.45,90.0,top
C18,17.6,40.6,90.0,top
C19,11.15,21.1,90.0,top
C20,19.4,21.35,90.0,top
C21,38.7,51.05,90.0,top
C22,41.5,51.05,270.0,top
C23,48.5,51.25,90.0,top
C24,51.3,51.25,270.0,top
C25,53.8,51.25,270.0,top
C26,36.3,45.0,180.0,top
C27,36.3,47.75,0.0,top
C28,28.7,23.9,90.0,top
C29,36.2,23.6,90.0,top
C3,41.4,21.6,270.0,top
C30,48.0,25.5,270.0,top
C31,50.75,25.5,90.0,top
C32,41.0,34.85,270.0,top
C33,38.5,34.85,90.0,top
C34,15.5,3.5,90.0,top
C35,42.5,3.5,90.0,top
C36,54.0,3.5,90.0,top
C4,58.75,57.75,270.0,top
C5,49.25,57.7,270.0,top
C6,21.55,57.5,0.0,top
C7,21.45,64.0,0.0,top
C8,15.6,47.45,90.0,top
C9,20.0,33.0,180.0,top
D1,22.0,15.725,90.0,top
J1,4.52,45.4,0.0,bottom
J2,65.48,45.4,0.0,bottom
J3,10.75,54.25,180.0,top
J4,14.75,54.29,180.0,top
JA1,54.25,66.825,270.0,top
JA2,12.75,66.8375,270.0,top
R1,21.95,19.95,270.0,top
R15,61.24,30.0,180.0,top
R16,61.24,48.0,180.0,top
R17,61.24,32.75,180.0,top
R18,46.5,37.01,90.0,top
R19,61.24,34.4,180.0,top
R2,61.25,24.0,90.0,top
R21,20.0,30.6,180.0,top
R22,28.5125,30.6,180.0,top
R23,28.5125,32.8,180.0,top
R24,25.8,36.8875,90.0,top
R25,28.0,36.8875,270.0,top
R26,27.9625,43.8,180.0,top
R27,27.87,45.9575,180.0,top
R28,30.2,40.6875,90.0,top
R29,21.4125,47.6,180.0,top
R3,61.25,41.25,90.0,top
R30,27.8,50.0,90.0,top
R31,9.0,46.3625,270.0,top
R32,18.0,49.5125,90.0,top
R33,61.25,20.0,90.0,top
RV1,7.55,6.21,90.0,top
RV2,34.5,6.11,90.0,top
RV3,62.4,6.11,90.0,top
U1,44.990373,41.788723,90.0,top
U2,15.2625,21.35,180.0,top
U3,21.4,39.2,0.0,top
U4,32.2,23.85,180.0,top
